sampleTimeStamp.seconds;sampleTimeStamp.microseconds;y;x;alt;vel_north;vel_east;vel_down;roll;pitch;heading;speed;arate_lon;arate_trans;arate_down;accel_x;accel_y;accel_down
1584853144;705903;57.709775965;11.918985097;45.02129527;0.9766116;-7.479167;-0.1073263;1.7250777362;-3.0848303745;95.244820531;7.542659;-0.2836785;0.4892666;8.31354;-0.4270579;-1.004513;-0.1248889
1584853144;755979;57.709776427;11.918978835;45.02561442;1.033791;-7.446097;-0.1001984;1.7159801192;-3.0645135892;95.669257206;7.517519;0.6790945;0.705864;8.675968;-0.4434636;-1.023033;0.3035287
1584853144;806070;57.709776914;11.918972602;45.029974627;1.084267;-7.411649;-0.1062468;1.7035686699;-3.067012963;96.103837968;7.490539;0.1169974;-0.1001699;8.671704;-0.7155239;-1.347935;-0.0102192
1584853144;855980;57.709777424;11.918966398;45.034597107;1.140768;-7.377136;-0.1153309;1.6632421956;-3.1026760041;96.544069005;7.464817;-0.8023343;-0.9201401;8.917434;-0.4298067;-1.304511;0.2335247
1584853144;905942;57.709777964;11.918960225;45.039454349;1.213512;-7.339034;-0.1192682;1.6574022079;-3.1594352093;96.999514828;7.438684;0.9160563;-1.248216;9.315613;-0.5906534;-1.510737;-0.1384351
1584853144;956055;57.709778533;11.918954081;45.044214851;1.266593;-7.308625;-0.1062474;1.6923741524;-3.2416550923;97.461170622;7.417564;0.2793552;-1.802411;9.411385;-0.291457;-1.129398;0.7181579
1584853145;6128;57.709779127;11.918947965;45.047822041;1.333037;-7.267311;-0.08313734;1.6918019449;-3.3186221868;97.956394243;7.388559;0.6696699;-0.9295705;10.01558;-0.7103785;-1.535461;-0.2698068
1584853145;55843;57.709779727;11.918941876;45.051028778;1.399705;-7.223464;-0.08306768;1.6524432233;-3.3775648246;98.468438243;7.357826;-0.6027918;-0.731035;10.37036;-0.516478;-1.432155;0.2018587
1584853145;105981;57.709780358;11.918935825;45.053845992;1.471873;-7.177939;-0.08313759;1.6233459287;-3.4031929935;98.993891159;7.327293;-0.03569432;-0.2481081;10.52652;-0.6248106;-1.374926;-0.3590205
1584853145;156018;57.709781021;11.918929812;45.057075351;1.540185;-7.131424;-0.08736835;1.5885421338;-3.4040080464;99.523498388;7.295846;0.260956;0.6060696;10.71068;-0.7001429;-1.35321;-0.1799393
1584853145;205933;57.709781711;11.918923836;45.060773626;1.597821;-7.090021;-0.1020017;1.5231005791;-3.392245205;100.05798054;7.267835;-1.401279;0.4352652;10.7276;-0.6013543;-1.497118;-0.3747411
1584853145;256035;57.70978243;11.918917896;45.064958064;1.662887;-7.046982;-0.1084337;1.4284815081;-3.3713474807;100.59981022;7.240521;-1.121463;0.7633293;10.77401;-0.6122146;-1.512114;-0.2864225
1584853145;305995;57.709783179;11.918911994;45.069632632;1.728541;-7.000267;-0.1168398;1.3657428955;-3.3370479328;101.1444823;7.210519;-0.01123087;1.165787;10.86579;-0.5869499;-1.298348;-0.1368921
1584853145;355995;57.709783955;11.918906128;45.074679752;1.783247;-6.960696;-0.1185954;1.3443970883;-3.3035073048;101.68632198;7.18549;0.1658762;0.7254097;10.77552;-0.7380457;-1.359331;0.1715919
1584853145;406010;57.709784754;11.918900295;45.079541954;1.834463;-6.919621;-0.1172202;1.2832139361;-3.2993059188;102.23086381;7.158659;-1.174908;-0.02516787;10.78613;-0.6521075;-1.399685;0.1346639
1584853145;455942;57.709785579;11.918894497;45.084510511;1.896099;-6.87777;-0.1185926;1.2221885836;-3.3253820943;102.765693;7.134347;0.20677;-0.4401783;10.48703;-0.6237452;-1.602021;-0.03729745
1584853145;505949;57.709786432;11.918888733;45.089704445;1.956855;-6.840181;-0.1233562;1.1771014528;-3.3908395257;103.29184343;7.114587;-0.492554;-1.374284;10.52631;-0.5762471;-1.360646;-0.01271783
1584853145;555937;57.709787312;11.918882999;45.094945555;2.015495;-6.807812;-0.1227146;1.1396393182;-3.4812730904;103.81816392;7.099896;0.2889465;-1.566139;10.39609;-0.4331208;-1.14052;0.1197836
1584853145;605952;57.709788218;11.918877294;45.100300483;2.070351;-6.77095;-0.1343393;1.1210823622;-3.5775792844;104.3494412;7.080404;-0.08065205;-2.152941;10.73171;-0.4031;-1.066658;-0.1273498
1584853145;656013;57.709789149;11.918871618;45.105865399;2.132004;-6.733718;-0.1297131;1.0807673493;-3.6820645638;104.88828554;7.063172;0.6759835;-1.652669;10.83813;-0.4295578;-1.51494;-0.09073577
1584853145;705961;57.709790106;11.918865973;45.111629126;2.183407;-6.698593;-0.1357316;1.0593975357;-3.7898536176;105.42091118;7.045454;0.1766461;-1.94086;10.47524;-0.478254;-1.50227;-0.1880891
1584853145;755999;57.709791088;11.91886036;45.117648603;2.241927;-6.659794;-0.1487005;1.0161005575;-3.8930450967;105.95338832;7.027026;-0.4582526;-2.028255;10.7018;-0.3827536;-1.219444;-0.2199569
1584853145;806021;57.709792096;11.918854781;45.124330608;2.296975;-6.620313;-0.1616254;0.9785697417;-3.9887679053;106.47553594;7.00747;-0.1456349;-1.813737;10.44222;-0.1942656;-1.220169;-0.333463
1584853145;855963;57.709793129;11.918849233;45.131712567;2.352695;-6.584673;-0.1674373;0.93899041818;-4.0813385803;106.9958512;6.99236;-0.07644276;-1.265669;10.39079;-0.2269091;-1.33417;-0.3158007
1584853145;905963;57.709794186;11.918843713;45.139408843;2.402617;-6.548262;-0.1770938;0.89186397985;-4.1442866225;107.51569673;6.975121;-0.4754708;-0.8683106;10.34034;-0.3561594;-1.270102;-0.2560118
