sampleTimeStamp.seconds;sampleTimeStamp.microseconds;y;x;alt;vel_north;vel_east;vel_down;roll;pitch;heading;speed;arate_lon;arate_trans;arate_down;accel_x;accel_y;accel_down
1584854176;63552;57.709901458;11.927803441;40.557737909;0.454913;-0.4109851;-0.01508905;-1.2825332633;-3.493549959;120.80677693;0.6130698;-0.2535681;0.03501488;0.1635954;-1.760703;0.09572054;0.04059482
1584854176;113612;57.709901563;11.927803007;40.558971155;0.4076444;-0.3349314;-0.007314415;-1.2985635578;-3.4901210456;120.82134766;0.5275917;-0.1189694;0.1759726;0.292419;-1.785537;0.04502087;-0.01255691
1584854176;163717;57.709901647;11.927802636;40.559988142;0.3635547;-0.2618709;-0.006511299;-1.303204805;-3.4911192464;120.83614156;0.4480496;0.0732915;-0.1005807;0.3793363;-1.702301;-0.002238923;-0.06797891
1584854176;213635;57.709901713;11.927802323;40.560871945;0.3214748;-0.1988531;-0.002797734;-1.305069758;-3.4989731198;120.84645228;0.3780061;-0.1056068;-0.1695067;0.2367737;-1.410501;0.004612247;0.0382732
1584854176;263579;57.709901761;11.927802062;40.561647527;0.2838138;-0.1403536;-0.002549965;-1.3043081906;-3.5099959858;120.85246803;0.3166218;-0.08637768;-0.2732452;0.218393;-1.382367;0.009502511;-0.144376
1584854176;313641;57.709901793;11.927801846;40.562405291;0.2486922;-0.09168027;-0.001135152;-1.3085318616;-3.5287109959;120.85453802;0.265053;-0.3452486;-0.4194284;0.06405035;-1.067881;0.02597992;0.1051317
1584854176;363632;57.709901813;11.927801672;40.563046105;0.2200654;-0.04413198;0.00060923;-1.3088212456;-3.5471857576;120.85635225;0.2244469;0.304471;-0.3589356;0.03508148;-1.143693;0.02243236;-0.1582132
1584854176;413610;57.70990182;11.927801534;40.563717002;0.1939167;-0.004996768;-0.001221507;-1.3075314035;-3.5721773275;120.85852539;0.1939811;-0.07771072;-0.5992205;0.1195915;-0.814812;0.01917646;0.05418557
1584854176;463596;57.709901816;11.927801429;40.564279094;0.1663721;0.03184139;0.004014567;-1.3071259107;-3.5925734564;120.86334154;0.1693917;0.1013962;-0.2258719;-0.01976287;-0.9778276;0.05171291;-0.1417416
1584854176;513618;57.709901801;11.927801355;40.564872345;0.1469227;0.06849206;-0.0001828908;-1.308403144;-3.6140870674;120.86969111;0.1621031;-0.07965591;-0.507341;0.3401549;-0.7207844;-0.04688295;0.001893214
1584854176;563608;57.709901777;11.927801311;40.565395453;0.1203316;0.1004572;0.005039909;-1.3110795259;-3.6298165026;120.87465266;0.1567525;0.1425942;-0.120345;-0.05865576;-0.8699153;0.02709926;-0.105056
1584854176;613682;57.709901743;11.927801295;40.565864303;0.09861947;0.1345388;0.001021198;-1.3116295993;-3.6392309681;120.877037;0.1668127;-0.241972;-0.3119403;0.01866987;-0.748456;-0.0736331;-0.06038744
1584854176;663671;57.7099017;11.927801308;40.566284296;0.07316831;0.1665642;0.008665598;-1.3143001287;-3.6435146995;120.87594978;0.1819265;0.02667514;0.201988;-0.2752899;-0.826982;0.1020105;-0.03301066
1584854176;713598;57.709901647;11.927801351;40.566630273;0.05204387;0.2009945;0.003868459;-1.3131537605;-3.6398234079;120.87386592;0.2076231;-0.180769;-0.02084463;-0.09752516;-0.6816778;-0.02374944;-0.09273659
1584854176;763692;57.709901586;11.927801415;40.567007658;0.04094564;0.2134412;0.006538019;-1.318535311;-3.6431813597;120.87274367;0.2173332;-0.2532933;-0.1577236;-0.1159512;0.006799786;0.1154834;0.2814367
